position,title,artist,source,chart_score,total_score
1,Beat Fantasy,Purple Disco Machine,Beatport_nu_disco,284,284
2,Another One Bites Feat. Cover Queen,Block & Crown,Beatport_nu_disco,198,198
3,Pretty Woman,Sean Finn,Beatport_nu_disco,196,196
4,Mas Que Nada,Yann Muller,Beatport_nu_disco,194,194
5,At Night,Shakedown,Beatport_nu_disco,192,192
6,Smooth Operator,Jackers Revenge,Beatport_nu_disco,190,190
7,Drop The Pressure,Mylo,Beatport_nu_disco,188,188
8,Pick Up The Pieces,Doche,Beatport_nu_disco,186,186
9,Are They Real,Groove P,Beatport_nu_disco,184,184
10,Love Seeking,Mind Against,Beatport_nu_disco,182,182
11,YoYo Disco,Wolfram,Beatport_nu_disco,180,180
12,Like I Said,A-Trak,Beatport_nu_disco,178,178
13,On My Mind,Diplo,Beatport_nu_disco,176,176
14,Gimme! Gimme! Gimme!,Sgt Slick,Beatport_nu_disco,174,174
15,Rapture,DE SOFFER,Beatport_nu_disco,172,172
16,Sweet Dreams,Block & Crown,Beatport_nu_disco,170,170
17,Die Maschine,Friedrich Liechtenstein,Beatport_nu_disco,168,168
18,Fly Away feat. The Sultra Gospel Singers,Michael Gray,Beatport_nu_disco,166,166
19,I'm Alive,Stretch & Vern,Beatport_nu_disco,164,164
20,Lola's Theme,The Shapeshifters,Beatport_nu_disco,162,162
21,Coma Cat,Tensnake,Beatport_nu_disco,160,160
22,Dancing Down The Path,Jerk Boy,Beatport_nu_disco,158,158
23,Little L,Jamiroquai,Beatport_nu_disco,156,156
24,Get Back,Gledd,Beatport_nu_disco,236,236
25,Rock da Casbah,Sean Finn,Beatport_nu_disco,152,152
26,In My Life,Moon Boots,Beatport_nu_disco,150,150
27,Prayer,Block & Crown,Beatport_nu_disco,148,148
28,Sunsleeper,Barry Can't Swim,Beatport_nu_disco,146,146
29,About Damn Time,Lizzo,Beatport_nu_disco,144,144
30,Sing It Back,Moloko,Beatport_nu_disco,142,142
31,Ride On Time,HP Vince,Beatport_nu_disco,140,140
32,4 me,Sugar Hill,Beatport_nu_disco,138,138
33,Beat Of Your Heart,Purple Disco Machine,Beatport_nu_disco,136,136
34,Less Is More,Choices,Beatport_nu_disco,134,134
35,We Are Family,Block & Crown,Beatport_nu_disco,191,191
36,Like It Is,Coeo,Beatport_nu_disco,130,130
37,September,Jackers Revenge,Beatport_nu_disco,128,128
38,All Night Long,Softmal,Beatport_nu_disco,126,126
39,Body Funk,Purple Disco Machine,Beatport_nu_disco,124,124
40,King of My Castle,Wamdue Project,Beatport_nu_disco,122,122
41,Keep On,Roland Leesker,Beatport_nu_disco,171,171
42,Satisfy Your Soul,Da Lukas,Beatport_nu_disco,118,118
43,Shined On Me feat. Andrea Love,Praise Cats,Beatport_nu_disco,116,116
44,Coming For Ya,nocapz.,Beatport_nu_disco,114,114
45,Self Control,Eelke Kleijn,Beatport_nu_disco,112,112
46,Bakerstreet,Block & Crown,Beatport_nu_disco,110,110
47,Voyage Voyage (Extended Mix),DE SOFFER,Beatport_nu_disco,108,108
48,I Will Survive,Block & Crown,Beatport_nu_disco,106,106
49,Que Tal America,Dave Lee ZR,Beatport_nu_disco,104,104
50,Heartbreaker,Chromeo,Beatport_nu_disco,102,102
51,Let's Groove,HP Vince,Beatport_nu_disco,100,100
52,Stars On 45 Theme,Sgt Slick,Beatport_nu_disco,98,98
53,Cry For You (Extended Mix),DE SOFFER,Beatport_nu_disco,96,96
54,Young Hearts,Block & Crown,Beatport_nu_disco,94,94
55,We Have A Disco,Dor Danino,Beatport_nu_disco,92,92
56,Disco Ibiza,Me & My Toothbrush,Beatport_nu_disco,90,90
57,Wish I Didn't Miss You,Angie Stone,Beatport_nu_disco,88,88
58,Waiting 4 Tonite feat. Betty Judd,JKriv,Beatport_nu_disco,86,86
59,I Like To Party,Disko Junkie,Beatport_nu_disco,84,84
60,One True Light,Crazy P,Beatport_nu_disco,82,82
61,BONKERS,Never Dull,Beatport_nu_disco,80,80
